season,contestant,total_weeks,avg_judge_score,avg_rank_fan_vote,avg_percentage_fan_vote,avg_rank_position,avg_percentage_position,weeks_rank_better,weeks_percentage_better,weeks_equal
2,Jerry Rice,8,22.520825000000002,0.1781365650804462,0.17437040792452285,4.625,4.25,4,3,1
4,Billy Ray Cyrus,8,19.0,0.12731539817090237,0.12433612942005731,5.875,6.25,5,3,0
11,Bristol Palin,10,22.91664,0.15977273248826657,0.15708357651555196,5.9,5.2,3,4,3
27,Bobby Bones,9,22.38888888888889,0.12326749655647301,0.12139383976227497,5.444444444444445,7.333333333333333,6,2,1
