feature,base_mean,permuted_mean,mean_change,prediction_change
comprehensive_score,0.1799194170436264,0.2415867125765858,0.06166729553295938,0.20181716019613133
fan_vote,0.1799194170436264,0.15986365298698074,0.020055764056645664,0.0997445195319403
fan_weight,0.1799194170436264,0.2169973233655995,0.03707790632197308,0.05432854821575742
fan_vote_cv,0.1799194170436264,0.16459637865267912,0.015323038390947286,0.05097215640758806
rank,0.1799194170436264,0.17292015934301935,0.006999257700607053,0.03604758270911658
judge_weight,0.1799194170436264,0.19835264511065617,0.018433228067029767,0.03177970743301018
total_uncertainty,0.1799194170436264,0.1773052845556637,0.002614132487962717,0.025517434305485105
judge_score,0.1799194170436264,0.17210476027933416,0.007814656764292244,0.02386927871797734
