feature,mean_abs_shap
fan_vote,0.28647774975638446
celebrity_age_during_season,0.1454105388372432
fan_vote_cv,0.07289795535794082
total_uncertainty,0.04819887898983711
judge_score,0.012434613761330598
industry_Athlete,0.00448402042538915
pro_experience,0.004268430132288491
is_american,0.003597082429269112
industry_Other,0.0027419787422557893
industry_Model,0.000497193856060663
industry_Singer,0.0004470681663544352
industry_Comedian,0.0003376737074644532
industry_Politician,0.00031501235367256626
industry_Musician,9.06782262264566e-06
