feature,mean_abs_shap
fan_vote,0.2746686048245191
celebrity_age_during_season,0.15294462513914747
fan_vote_cv,0.04752719834692906
total_uncertainty,0.04532645264241597
judge_score,0.017627902845041586
industry_Athlete,0.004888788614996432
pro_experience,0.0029760944080729347
industry_Other,0.002789621201790026
is_american,0.0023631330099544014
industry_Singer,0.0005758486351383007
industry_Politician,0.00036041067687703606
industry_Comedian,0.0003378391631568537
industry_Model,0.00022003198066484608
industry_Musician,8.195958207102636e-06
