feature,mean_abs_shap
fan_vote,0.23099150416312397
fan_vote_cv,0.09518751952490945
total_uncertainty,0.030779775372256648
judge_score,0.028271038689038408
celebrity_age_during_season,0.02722334563633903
pro_experience,0.017227118588939338
industry_Other,0.007997416313675693
industry_Athlete,0.00506153942823301
industry_Singer,0.003688902745062796
is_american,0.002249736098645992
industry_Model,0.0016989969944552984
industry_Comedian,0.0009107972509631836
industry_Politician,0.0007642993759542347
industry_Musician,5.3622253893510886e-05
